agency,sido,sigungu,spot_name,lat,lon,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울특별시,서초구,반포동,37.5051446767402,127.013359062646,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,서초구,방배동,37.483413014657,126.994486969319,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,서초구,서초동,37.4900861966504,127.01953478052,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,서초구,신원동,37.4440189779747,127.062170998757,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,서초구,양재동,37.4720040276214,127.037463917199,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,서초구,염곡동,37.4622991870892,127.053907608672,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,서초구,우면동,37.4646530229736,127.01605116304,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,서초구,원지동,37.4433117184792,127.048637026567,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,서초구,잠원동,37.5149186880221,127.014102820234,17238,1835,1587,557,5838,1787,240,5394
서울특별시경찰청,서울특별시,성동구,금호동1가,37.554885724907,127.02279294328,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,금호동2가,37.5529940659196,127.020406751011,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,금호동3가,37.5499307132641,127.020166005976,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,금호동4가,37.5447325755774,127.026161935006,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,도선동,37.5637958263855,127.033530216268,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,마장동,37.5663795479871,127.045325760782,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,사근동,37.5614997515695,127.045327331714,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,상왕십리동,37.5684327095864,127.024784739728,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성동구,성수동1가,37.5417253860377,127.043351028535,8798,1047,968,237,3320,768,107,2351
