agency,sido,sigungu,lat,lon,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울특별시,성동구,37.563427205337,127.036930141185,8798,1047,968,237,3320,768,107,2351
서울특별시경찰청,서울특별시,성북구,37.5893588153919,127.016702905651,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울특별시,송파구,37.51458371944,127.10591770866,18321,2364,2500,559,6365,1767,194,4572
서울특별시경찰청,서울특별시,양천구,37.5169884752609,126.866501409661,9869,1378,1513,188,2988,861,92,2849
서울특별시경찰청,서울특별시,영등포구,37.5263671784802,126.896278443882,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울특별시,용산구,37.5324310391314,126.990582345331,10736,1961,1072,390,2802,978,201,3332
서울특별시경찰청,서울특별시,은평구,37.6028174370823,126.928940981464,10708,1579,1520,289,3370,968,78,2904
서울특별시경찰청,서울특별시,종로구,37.5735042429813,126.978989954189,10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울특별시,중구,37.5638077703601,126.997555182293,9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울특별시,중랑구,37.6065432383919,127.092820287004,10744,1596,1439,268,3296,1051,95,2999
울산광역시경찰청,울산광역시,남구,35.5438097037164,129.330091790832,11114,1662,955,311,3216,1657,121,3192
울산광역시경찰청,울산광역시,동구,35.5046358750471,129.416487775874,4008,734,498,86,1023,717,33,917
울산광역시경찰청,울산광역시,북구,35.5827469957224,129.361146675229,4978,712,712,81,1111,1265,63,1034
울산광역시경찰청,울산광역시,울주군,35.6018157675291,129.150267145781,6029,761,507,123,2039,1209,40,1350
울산광역시경찰청,울산광역시,중구,35.5693352250354,129.332494084524,4781,696,530,136,1352,763,66,1238
인천광역시경찰청,인천광역시,강화군,37.7465683959168,126.488039602372,1800,314,168,40,449,346,19,464
인천광역시경찰청,인천광역시,계양구,37.5375028862627,126.737709165274,7963,1163,825,217,2499,965,65,2229
인천광역시경찰청,인천광역시,남동구,37.4473487903571,126.73148773974,15488,2234,1242,458,4957,2060,260,4277
인천광역시경찰청,인천광역시,동구,37.4738609917963,126.643281922795,1237,206,206,37,321,145,13,309
인천광역시경찰청,인천광역시,미추홀구,37.4570756444157,126.664971932721,15339,2428,1444,450,4794,1904,300,4019
인천광역시경찰청,인천광역시,부평구,37.5070416636403,126.721864167603,15875,2728,2143,511,4515,1768,222,3988
인천광역시경찰청,인천광역시,서구,37.5454335160344,126.676028468221,16771,2145,1356,510,5711,2211,180,4658
인천광역시경찰청,인천광역시,연수구,37.4101049829036,126.678274835103,9903,1375,1185,236,3314,1026,112,2655
인천광역시경찰청,인천광역시,옹진군,37.9534650042648,124.670086072277,418,65,15,14,86,88,7,143
인천광역시경찰청,인천광역시,중구,37.4736605302972,126.621704022591,7858,948,791,196,2613,1104,157,2049
전라남도경찰청,전라남도,강진군,34.6420615268858,126.767213471898,810,142,80,16,192,214,6,160
전라남도경찰청,전라남도,고흥군,34.6110820210903,127.284968746855,1399,267,146,25,349,354,8,250
전라남도경찰청,전라남도,곡성군,35.2820258392354,127.291929639637,632,87,56,9,137,175,43,125
전라남도경찰청,전라남도,광양시,34.9404252535168,127.695930772808,4519,649,400,99,1412,920,34,1005
전라남도경찰청,전라남도,구례군,35.202496361707,127.46270363657,576,98,73,8,124,113,6,154
전라남도경찰청,전라남도,나주시,35.0158976865702,126.71082925505,3369,467,352,51,937,757,36,769
전라남도경찰청,전라남도,담양군,35.3212107735503,126.988210711052,999,140,110,18,217,309,8,197
전라남도경찰청,전라남도,목포시,34.8118238820031,126.392266004669,8796,1227,963,222,2964,1514,80,1826
전라남도경찰청,전라남도,무안군,34.9903406227336,126.481704827288,2286,316,236,48,563,479,109,535
전라남도경찰청,전라남도,보성군,34.7713202357687,127.079832711022,946,145,115,16,209,263,14,184
전라남도경찰청,전라남도,순천시,34.9506097806669,127.487382934915,7941,1294,765,190,2457,1505,113,1617
전라남도경찰청,전라남도,신안군,34.8336429223321,126.35140802381,696,122,87,16,191,113,8,159
전라남도경찰청,전라남도,여수시,34.7604010648257,127.662331251572,8295,1320,713,160,2473,1664,88,1877
전라남도경찰청,전라남도,영광군,35.27719003326,126.512013797425,1162,197,135,26,261,229,2,312
전라남도경찰청,전라남도,영암군,34.8000591144742,126.696762590551,1522,261,135,31,360,433,23,279
전라남도경찰청,전라남도,완도군,34.3109789170971,126.754998729552,1260,229,162,20,326,275,12,236
전라남도경찰청,전라남도,장성군,35.3018576771354,126.784918877012,1112,158,142,27,247,301,6,231
전라남도경찰청,전라남도,장흥군,34.6816120675651,126.907058431105,942,151,88,13,248,203,4,235
전라남도경찰청,전라남도,진도군,34.486828620348,126.263446186439,873,153,110,15,205,207,12,171
전라남도경찰청,전라남도,함평군,35.0659111691242,126.516624840635,733,112,111,12,144,185,3,166
전라남도경찰청,전라남도,해남군,34.573516588485,126.599270065365,1642,274,158,26,435,407,14,328
전라남도경찰청,전라남도,화순군,35.0645119791204,126.986502436773,1408,214,141,24,497,256,17,259
전북특별자치도경찰청,전북특별자치도,고창군,35.4356982163483,126.702120365321,1234,189,77,35,432,206,11,284
전북특별자치도경찰청,전북특별자치도,군산시,35.9674665619218,126.736840487468,8144,1107,747,212,2414,1317,41,2306
전북특별자치도경찰청,전북특별자치도,김제시,35.8035852810186,126.880655083014,1951,293,162,38,523,469,13,453
전북특별자치도경찰청,전북특별자치도,남원시,35.4163627529983,127.390396427422,1939,314,241,41,597,321,27,398
전북특별자치도경찰청,전북특별자치도,무주군,36.0068437431522,127.660806341147,539,74,30,15,190,109,5,116
전북특별자치도경찰청,전북특별자치도,부안군,35.7316614171428,126.733020152545,1010,159,101,25,300,191,5,229
전북특별자치도경찰청,전북특별자치도,순창군,35.3744452332964,127.137364881069,444,62,39,11,102,132,6,92
전북특별자치도경찰청,전북특별자치도,완주군,35.9048145963422,127.162119017463,2190,304,224,50,584,486,16,526
전북특별자치도경찰청,전북특별자치도,익산시,35.9482628600199,126.957744486694,8727,1194,1026,201,2746,1168,59,2333
전북특별자치도경찰청,전북특별자치도,임실군,35.6178545082349,127.289087482791,466,52,51,11,126,119,4,103
전북특별자치도경찰청,전북특별자치도,장수군,35.6473479775044,127.521599117387,405,60,42,10,125,85,3,80
전북특별자치도경찰청,전북특별자치도,전주시,35.8122369480273,127.119796025934,19943,2647,2667,543,6389,2823,153,4721
전북특별자치도경찰청,전북특별자치도,정읍시,35.5698780259932,126.856005647439,2594,427,443,37,641,454,23,569
전북특별자치도경찰청,전북특별자치도,진안군,35.7917723036092,127.424865465441,529,65,47,7,211,92,7,100
제주특별자치도경찰청,제주특별자치도,서귀포시,33.2540646255037,126.559563466911,7556,1243,791,145,2205,1344,44,1784
제주특별자치도경찰청,제주특별자치도,제주시,33.499534241198,126.531171087132,21606,3331,2257,479,7409,3366,144,4620
충청남도경찰청,충청남도,계룡시,36.2745589958326,127.248542561419,524,70,45,18,131,98,4,158
충청남도경찰청,충청남도,공주시,36.4465551158227,127.11905504092,3005,321,244,65,802,856,29,688
충청남도경찰청,충청남도,금산군,36.1088634036978,127.48797455592,1206,189,95,34,346,251,22,269
충청남도경찰청,충청남도,논산시,36.1871836043033,127.098734690891,3412,452,373,43,1118,634,33,759
충청남도경찰청,충청남도,당진시,36.8896748628647,126.645888436838,5909,748,314,131,1605,1542,97,1472
충청남도경찰청,충청남도,보령시,36.3333366887911,126.612759338779,2564,352,290,73,663,531,33,622
충청남도경찰청,충청남도,부여군,36.2757637166451,126.909772812745,1168,169,149,18,300,273,16,243
충청남도경찰청,충청남도,서산시,36.7848762954286,126.450333937447,5149,759,349,131,1547,1068,76,1219
충청남도경찰청,충청남도,서천군,36.080315550736,126.691852023308,1205,188,82,22,379,284,10,240
충청남도경찰청,충청남도,아산시,36.7899741676055,127.002509638233,10571,1538,1189,243,2964,2237,123,2277
충청남도경찰청,충청남도,예산군,36.6826228017861,126.848642241312,2381,287,183,54,746,463,94,554
충청남도경찰청,충청남도,천안시,36.8784484280168,127.154969215538,24779,3318,2942,635,8211,4094,292,5287
충청남도경찰청,충청남도,청양군,36.4592146952303,126.80220021685,779,103,66,9,215,230,10,146
충청남도경찰청,충청남도,태안군,36.7456046843605,126.297926066959,1890,330,122,42,513,423,25,435
충청남도경찰청,충청남도,홍성군,36.6013575607953,126.66083238915,2605,260,202,54,752,645,30,662
충청북도경찰청,충청북도,괴산군,36.8153571576607,127.786652163107,1076,129,42,23,459,167,12,244
충청북도경찰청,충청북도,단양군,36.98463262373,128.36553703024,590,106,38,15,137,133,10,151
충청북도경찰청,충청북도,보은군,36.4894353521302,127.729498803338,812,94,75,10,265,180,25,163
충청북도경찰청,충청북도,영동군,36.174992821265,127.783438619236,728,99,52,15,196,183,9,174
충청북도경찰청,충청북도,옥천군,36.3064355612681,127.571345042936,1399,163,100,29,509,243,18,337
충청북도경찰청,충청북도,음성군,36.9403218849121,127.690480041094,3470,485,418,54,977,854,60,622
충청북도경찰청,충청북도,제천시,37.1326577745507,128.19098500203,3510,421,408,63,1050,740,60,768
충청북도경찰청,충청북도,증평군,36.7854023677832,127.581539888445,675,103,75,19,139,154,4,181
충청북도경찰청,충청북도,진천군,36.8553861840184,127.435540612059,3274,442,250,54,1156,651,67,654
충청북도경찰청,충청북도,청주시,36.6289628005612,127.375861626467,25294,3153,3788,608,7400,4232,251,5862
충청북도경찰청,충청북도,충주시,36.9910490160221,127.925961035784,5613,726,611,151,1548,1191,68,1318
