agency,station,unit_name,unit_label,kind,address,sido,sigungu,lat,lon,catchment,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울마포,상암,상암파출소,파출소,서울특별시 마포구 매봉산로 76,서울특별시,마포구,37.5783209050878,126.894689433213,상암동,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울마포,망원,망원파출소,파출소,서울특별시 마포구 망원로2길 63,서울특별시,마포구,37.5567856576915,126.901347294861,"망원동, 서교동, 합정동",13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울마포,연남,연남파출소,파출소,서울특별시 마포구 연남로 4,서울특별시,마포구,37.5644776141887,126.922023205508,"동교동, 연남동",13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울영등포,중앙,중앙지구대,지구대,서울특별시 영등포구 영등포로46길 14,서울특별시,영등포구,37.5263671784802,126.896278443882,"당산동1가, 당산동2가, 당산동3가, 당산동4가, 당산동5가, 영등포동2가, 영등포동5가, 영등포동6가",15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,여의도,여의도지구대,지구대,서울특별시 영등포구 여의공원로 120 여의도지구대,서울특별시,영등포구,37.5267849150832,126.930167091136,여의도동,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,문래,문래지구대,지구대,서울특별시 영등포구 경인로 759,서울특별시,영등포구,37.5122797138519,126.896981114579,"도림동, 문래동1가, 문래동2가, 문래동3가, 문래동4가, 문래동5가, 영등포동, 영등포동3가",15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,신풍,신풍지구대,지구대,서울특별시 영등포구 대방천로 195(신길동 3741-23),서울특별시,영등포구,37.5041663202169,126.91406973946,"신길동, 영등포동1가",15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,신길,신길지구대,지구대,서울특별시 영등포구 노량진로 11,서울특별시,영등포구,37.5041663202169,126.91406973946,,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,양평,양평파출소,파출소,서울특별시 영등포구 선유로 95,서울특별시,영등포구,37.5282170949853,126.885713864668,"문래동6가, 양평동, 양평동1가, 양평동2가, 양평동3가",15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,당산,당산지구대,지구대,서울특별시 영등포구 당산로 221,서울특별시,영등포구,37.5402584246454,126.902165652703,"당산동, 당산동6가, 양평동4가, 양평동5가, 양평동6가, 양화동",15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,대림,대림지구대,지구대,서울특별시 영등포구 대림로23길 16-1,서울특별시,영등포구,37.4925087229048,126.902006335554,대림동,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,대림3,대림3파출소,파출소,서울특별시 영등포구 가마산로 334,서울특별시,영등포구,37.5263671784802,126.896278443882,,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울영등포,영등포역,영등포역파출소,파출소,서울특별시 영등포구 영신로20길 11,서울특별시,영등포구,37.5263671784802,126.896278443882,,15467,2089,1790,475,5043,1683,190,4197
서울특별시경찰청,서울성동,한양,한양지구대,지구대,서울특별시 성동구 사근동길 5,서울특별시,성동구,37.563427205337,127.036930141185,"도선동, 마장동, 사근동, 하왕십리동, 홍익동",8798,1047,968,237,3320,768,107,2351
